En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Oaxaca,"Juchitán de Zaragoza,Oaxaca",2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Oaxaca,"Juchitán de Zaragoza,Oaxaca",Al 30 de junio de 2021,1,138,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138,0
 Oaxaca,"Oaxaca de Juárez,Oaxaca",2019,1,  6 661,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  6 661
 Oaxaca,"Oaxaca de Juárez,Oaxaca",2020,1,  4 640,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  4 640
 Oaxaca,"Oaxaca de Juárez,Oaxaca",Al 30 de junio de 2021,1,  3 699,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  3 699
 Puebla,"Puebla,Puebla",2019,1,  1 778,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  1 778
 Puebla,"Puebla,Puebla",2020,1,  1 628,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  1 628
 Puebla,"Puebla,Puebla",Al 30 de junio de 2021,1,  1 112,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  1 112
 Puebla,"Tehuacán,Puebla",2019,1,  1 358,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  1 358,0
 Puebla,"Tehuacán,Puebla",2020,1,  1 309,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  1 309,0
 Puebla,"Tehuacán,Puebla",Al 30 de junio de 2021,1,719,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,719,0
 Querétaro,"Querétaro,Querétaro",2019,1,  32 798,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  32 798
 Querétaro,"Querétaro,Querétaro",2020,1,  36 958,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  36 958
 Querétaro,"Querétaro,Querétaro",Al 30 de junio de 2021,1,  18 642,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  18 642
 Quintana Roo,"Cancún,Quintana Roo",2019,1,  3 305,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  3 305
 Quintana Roo,"Cancún,Quintana Roo",2020,1,  4 479,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  4 479
